,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,Nittaku Septear,SNSEP,Nittaku,OFF,90,74,85,7w,6.7,"FL, ST",$139.95,$74.95
,Nittaku Septear Lead,SNSEL,Nittaku,OFF-,84,75,80,7w,6.2,FL,,$62.95
,Nittaku Septear Carbon,SNSEC,Nittaku,OFF,93,68,88,"7w, 2c",5.8,"FL, ST",,$129.95
,Nittaku Miyabi,SNMIY,Nittaku,OFF+,95,59,85,1w,9,FL,,$104.95
,Tibhar CCA Unlimited,STCAU,Tibhar,OFF+,96,67,88,"5w, 2c/k",6,"FL, AN, ST",,$189.95
,Tibhar CCA 7,STCA7,Tibhar,OFF,91,71,88,7w,7.1,"FL, AN, ST",,$99.95
,Tibhar Samsonov Pure Wood,STSUW,Tibhar,ALL+,79,77,85,5w,6.2,"FL, ST",$127.95,$62.95
,Stiga Rosewood XO,SSROX,Stiga,OFF,89,64,79,5w,5.8,"FL, AN, ST",,$166.95
,Stiga Rosewood NCT V,SSRO5,Stiga,OFF-,86,69,93,5w,6.2,"FL, AN, ST",,$155.95
,Stiga Ebenholz NCT VII,SSEB7N,Stiga,OFF+,94,62,89,7w,6.1,"FL, AN, ST",,$189.95
,Donic Crest OFF,SDCRO,Donic,OFF,95,70,85,"5w, 2c/z",5.9,"FL, AN, ST",,$174.95
,Donic Crest AR+,SDCRA,Donic,ALL+,84,75,85,"5w, 2c/z",5.9,"FL, AN, ST",,$174.95
,Donic Waldner Senso Ultra Carbon,SDWUC,Donic,OFF,89,70,80,"5w, 2c",5.8,"FL, AN, ST",,$60.95
,Tibhar Stratus Samsonov Carbon,STSST,Tibhar,OFF,93,57,85,"5w, 2c/k",5.5,"FL, AN, ST",,$95.95
,Tibhar Stratus Power Defense,STSPD,Tibhar,DEF+,67,86,80,5w,5.3,"FL, AN, ST",,$54.95
,Andro Treiber H,SATRH,Andro,OFF,88,65,90,"5w, 2c/f",5.5,"FL, ST",,$57.95
,Yasaka Extra Offensive 7 Power,SYEO7,Yasaka,OFF+,96,62,92,"5w, 2c",6,"FL, AN, ST",$134.95,$69.95
,Yasaka Goiabao 5,SYGOI,Yasaka,OFF+,94,66,86,5w,6.1,"FL, AN, ST",,$51.95
,Yasaka Battle Balsa,SYBBL,Yasaka,OFF-,86,68,75,5w,6.2,"FL, AN, ST",$114.95,$49.95
,Xiom Feel HX Pro,SXFHP,Xiom,OFF,92,65,89,"3w, 2c",7.1,"FL, ST",,$119.95
,Xiom Feel HX,SXFHX,Xiom,OFF,91,65,84,"3w, 2c",6.6,"FL, ST",,$86.95
